Model: VGG-Face_cosine_mtcnn_align_True_50, Target: park, Image Count: 15
Model: VGG-Face_cosine_mtcnn_align_True_50, Target: you, Image Count: 18
Model: VGG-Face_cosine_mtcnn_align_True_50, Target: tak, Image Count: 14
Model: FaceNet_euclidean_l2_dlib_align_False_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_False_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_False_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_False_0, Target: tak, Image Count: 0
Model: FaceNet_cosine_ssd_align_True_0, Target: deffcon, Image Count: 0
Model: FaceNet_cosine_ssd_align_True_0, Target: park, Image Count: 0
Model: FaceNet_cosine_ssd_align_True_0, Target: you, Image Count: 0
Model: FaceNet_cosine_ssd_align_True_0, Target: tak, Image Count: 0
Model: DeepID_cosine_dlib_align_True_9, Target: deffcon, Image Count: 1
Model: DeepID_cosine_dlib_align_True_9, Target: park, Image Count: 1
Model: DeepID_cosine_dlib_align_True_9, Target: you, Image Count: 0
Model: DeepID_cosine_dlib_align_True_9, Target: tak, Image Count: 7
Model: OpenFace_euclidean_retinaface_align_True_4, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_retinaface_align_True_4, Target: park, Image Count: 2
Model: OpenFace_euclidean_retinaface_align_True_4, Target: you, Image Count: 1
Model: OpenFace_euclidean_retinaface_align_True_4, Target: tak, Image Count: 1
Model: FaceNet_euclidean_retinaface_align_True_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_True_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_True_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_True_0, Target: tak, Image Count: 0
Model: DeepID_euclidean_mtcnn_align_True_7, Target: deffcon, Image Count: 1
Model: DeepID_euclidean_mtcnn_align_True_7, Target: park, Image Count: 3
Model: DeepID_euclidean_mtcnn_align_True_7, Target: you, Image Count: 0
Model: DeepID_euclidean_mtcnn_align_True_7, Target: tak, Image Count: 3
Model: DeepID_cosine_mtcnn_align_True_3, Target: deffcon, Image Count: 0
Model: DeepID_cosine_mtcnn_align_True_3, Target: park, Image Count: 3
Model: DeepID_cosine_mtcnn_align_True_3, Target: you, Image Count: 0
Model: DeepID_cosine_mtcnn_align_True_3, Target: tak, Image Count: 0
Model: FaceNet_euclidean_l2_ssd_align_True_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_ssd_align_True_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_ssd_align_True_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_ssd_align_True_0, Target: tak, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True_0, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True_0, Target: park, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True_0, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_dlib_align_True_0, Target: tak, Image Count: 0
Model: ArcFace_euclidean_l2_retinaface_align_True_29, Target: deffcon, Image Count: 4
Model: ArcFace_euclidean_l2_retinaface_align_True_29, Target: park, Image Count: 7
Model: ArcFace_euclidean_l2_retinaface_align_True_29, Target: you, Image Count: 14
Model: ArcFace_euclidean_l2_retinaface_align_True_29, Target: tak, Image Count: 4
Model: ArcFace_cosine_opencv_align_False_17, Target: deffcon, Image Count: 0
Model: ArcFace_cosine_opencv_align_False_17, Target: park, Image Count: 5
Model: ArcFace_cosine_opencv_align_False_17, Target: you, Image Count: 4
Model: ArcFace_cosine_opencv_align_False_17, Target: tak, Image Count: 8
Model: Dlib_cosine_dlib_align_False_55, Target: deffcon, Image Count: 8
Model: Dlib_cosine_dlib_align_False_55, Target: park, Image Count: 13
Model: Dlib_cosine_dlib_align_False_55, Target: you, Image Count: 17
Model: Dlib_cosine_dlib_align_False_55, Target: tak, Image Count: 17
Model: VGG-Face_euclidean_opencv_align_False_24, Target: deffcon, Image Count: 0
Model: VGG-Face_euclidean_opencv_align_False_24, Target: park, Image Count: 8
Model: VGG-Face_euclidean_opencv_align_False_24, Target: you, Image Count: 3
Model: VGG-Face_euclidean_opencv_align_False_24, Target: tak, Image Count: 13
Model: SFace_euclidean_dlib_align_False_89, Target: deffcon, Image Count: 24
Model: SFace_euclidean_dlib_align_False_89, Target: park, Image Count: 17
Model: SFace_euclidean_dlib_align_False_89, Target: you, Image Count: 25
Model: SFace_euclidean_dlib_align_False_89, Target: tak, Image Count: 23
Model: VGG-Face_euclidean_l2_dlib_align_False_64, Target: deffcon, Image Count: 11
Model: VGG-Face_euclidean_l2_dlib_align_False_64, Target: park, Image Count: 15
Model: VGG-Face_euclidean_l2_dlib_align_False_64, Target: you, Image Count: 19
Model: VGG-Face_euclidean_l2_dlib_align_False_64, Target: tak, Image Count: 19
Model: VGG-Face_euclidean_l2_retinaface_align_True_50, Target: deffcon, Image Count: 3
Model: VGG-Face_euclidean_l2_retinaface_align_True_50, Target: park, Image Count: 14
Model: VGG-Face_euclidean_l2_retinaface_align_True_50, Target: you, Image Count: 18
Model: VGG-Face_euclidean_l2_retinaface_align_True_50, Target: tak, Image Count: 15
Model: DeepID_euclidean_l2_retinaface_align_True_1, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_l2_retinaface_align_True_1, Target: park, Image Count: 1
Model: DeepID_euclidean_l2_retinaface_align_True_1, Target: you, Image Count: 0
Model: DeepID_euclidean_l2_retinaface_align_True_1, Target: tak, Image Count: 0
Model: DeepFace_cosine_retinaface_align_False_21, Target: deffcon, Image Count: 6
Model: DeepFace_cosine_retinaface_align_False_21, Target: park, Image Count: 11
Model: DeepFace_cosine_retinaface_align_False_21, Target: you, Image Count: 2
Model: DeepFace_cosine_retinaface_align_False_21, Target: tak, Image Count: 2
Model: OpenFace_euclidean_l2_dlib_align_True_6, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_dlib_align_True_6, Target: park, Image Count: 4
Model: OpenFace_euclidean_l2_dlib_align_True_6, Target: you, Image Count: 2
Model: OpenFace_euclidean_l2_dlib_align_True_6, Target: tak, Image Count: 0
Model: ArcFace_euclidean_opencv_align_True_14, Target: deffcon, Image Count: 0
Model: ArcFace_euclidean_opencv_align_True_14, Target: park, Image Count: 5
Model: ArcFace_euclidean_opencv_align_True_14, Target: you, Image Count: 7
Model: ArcFace_euclidean_opencv_align_True_14, Target: tak, Image Count: 2
Model: FaceNet_euclidean_l2_mtcnn_align_True_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_mtcnn_align_True_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_mtcnn_align_True_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_mtcnn_align_True_0, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
