Model: DeepFace_euclidean_mediapipe_align_False, Target: tak, Image Count: 0
Model: DeepFace_euclidean_l2_mtcnn_align_False, Target: deffcon, Image Count: 1
Model: DeepFace_euclidean_l2_mtcnn_align_False, Target: park, Image Count: 13
Model: DeepFace_euclidean_l2_mtcnn_align_False, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_mtcnn_align_False, Target: tak, Image Count: 1ㄴㄴㄴㄴ
Model: OpenFace_euclidean_l2_opencv_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_True, Target: park, Image Count: 11
Model: OpenFace_euclidean_l2_opencv_align_True, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_True, Target: tak, Image Count: 9
Model: VGG-Face_euclidean_mediapipe_align_False, Target: deffcon, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False, Target: park, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False, Target: you, Image Count: 0
Model: VGG-Face_euclidean_mediapipe_align_False, Target: tak, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_True, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_True, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_True, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_dlib_align_True, Target: tak, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_False, Target: park, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_False, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_False, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_l2_mtcnn_align_False, Target: deffcon, Image Count: 5
Model: VGG-Face_euclidean_l2_mtcnn_align_False, Target: park, Image Count: 9
Model: VGG-Face_euclidean_l2_mtcnn_align_False, Target: you, Image Count: 19
Model: VGG-Face_euclidean_l2_mtcnn_align_False, Target: tak, Image Count: 15
Model: OpenFace_euclidean_opencv_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_opencv_align_True, Target: park, Image Count: 11
